INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Texas Health and Science University,Austin,TX,78704,Accrediting Council for Independent Colleges and Schools,,,0.3913,Non-MSI
Graduate America College,Garland,TX,75040-3294,Middle States Commission on Secondary Education,-0.17858809801633604,-5.599477295001634,0.5298,Non-MSI
CET-El Paso,El Paso,TX,79907,Council on Occupational Education,-0.07917573689474613,-12.63013189671187,0.6355,Non-MSI
Academy of Hair Design-Lufkin,Lufkin,TX,75904,National Accrediting Commission of Career Arts and Sciences,-0.33612650655406,-2.9750703395930116,0.5741,Non-MSI
Pathway Vocational Academy,Beaumont,TX,77701-4650,,-0.11928402483492657,-8.383352266859445,0.6224,Non-MSI
Toni & Guy Hairdressing Academy-Plano,Plano,TX,75093,,-0.002044601358598498,-489.0928961748634,0.4735,Non-MSI
Advanced Barber College and Hair Design,Weslaco,TX,78596,Council on Occupational Education,-0.11898866003239991,-8.404162209471943,0.7149,Non-MSI
The College of Health Care Professions-Austin,Austin,TX,78723,Accrediting Bureau of Health Education Schools,-0.04106002335004464,-24.354589169977,0.6426,Non-MSI
The Chicago School-College of Nursing,Richardson,TX,75080,Western Association of Schools and Colleges Senior Colleges and University Commission,-0.2797730125877922,-3.5743261680259533,0.5162,Non-MSI
Milan Institute-San Antonio Ingram,San Antonio,TX,78238,Council on Occupational Education,-0.11019142788345775,-9.07511608850041,0.7972,Non-MSI
The King's University,Southlake,TX,76092,Transnational Association of Christian Colleges and Schools,0.1602747502270663,6.2392859672735,0.4281,Non-MSI
Interactive College of Technology,Pasadena,TX,77502,Council on Occupational Education,-0.09913793103448276,-10.08695652173913,0.7917,Non-MSI
Milan Institute-Amarillo,Amarillo,TX,79106,Council on Occupational Education,-0.07206001309656793,-13.877321929707337,0.7574,Non-MSI
Texas Barber College,Houston,TX,77036,Council on Occupational Education,-0.10017173222733458,-9.982856218664079,0.6858,Non-MSI
Concorde Career College-Grand Prairie,Grand Prairie,TX,75052-3831,Accrediting Commission of Career Schools and Colleges,0.03226385164482381,30.994439566871524,0.7283,Non-MSI
Lamar Institute of Technology,Beaumont,TX,77705,Southern Association of Colleges and Schools Commission on Colleges,0.3771166647203083,2.651699310985523,0.2928,Non-MSI
Aviation Institute of Maintenance-Dallas,Irving,TX,75061,Accrediting Commission of Career Schools and Colleges,-0.3443764617440695,-2.9037989267198254,0.5709,Non-MSI
